#SILCannonBookAbbrev, SILCannonBookNum, ClearTreeBookAbbrev, ClearTreeBookNum, LanguageCode
GEN,1,gn,1,H,
EXO,2,ex,2,H,
LEV,3,lv,3,H,
NUM,4,nu,4,H,
DEU,5,dt,5,H,
JOS,6,js,6,H,
JDG,7,ju,7,H,
RUT,8,ru,8,H,
1SA,9,1s,9,H,
2SA,10,2s,10,H,
1KI,11,1k,11,H,
2KI,12,2k,12,H,
1CH,13,1c,13,H,
2CH,14,2c,14,H,
EZR,15,er,15,H,
NEH,16,ne,16,H,
EST,17,es,17,H,
JOB,18,jb,18,H,
PSA,19,ps,19,H,
PRO,20,pr,20,H,
ECC,21,ec,21,H,
SNG,22,ca,22,H,
ISA,23,is,23,H,
JER,24,je,24,H,
LAM,25,lm,25,H,
EZK,26,ek,26,H,
DAN,27,da,27,H,
HOS,28,ho,28,H,
JOL,29,jl,29,H,
AMO,30,am,30,H,
OBA,31,ob,31,H,
JON,32,jn,32,H,
MIC,33,mi,33,H,
NAM,34,na,34,H,
HAB,35,hb,35,H,
ZEP,36,zp,36,H,
HAG,37,hg,37,H,
ZEC,38,zc,38,H,
MAL,39,ma,39,H,
MAT,40,Mat,40,G,
MRK,41,Mrk,41,G,
LUK,42,Luk,42,G,
JHN,43,Jhn,43,G,
ACT,44,Act,44,G,
ROM,45,Rom,45,G,
1CO,46,1Co,46,G,
2CO,47,2Co,47,G,
GAL,48,Gal,48,G,
EPH,49,Eph,49,G,
PHP,50,Php,50,G,
COL,51,Col,51,G,
1TH,52,1Th,52,G,
2TH,53,2Th,53,G,
1TI,54,1Tm,54,G,
2TI,55,2Tm,55,G,
TIT,56,Tit,56,G,
PHM,57,Phm,57,G,
HEB,58,Heb,58,G,
JAS,59,Jms,59,G,
1PE,60,1Pe,60,G,
2PE,61,2Pe,61,G,
1JN,62,1Jn,62,G,
2JN,63,2Jn,63,G,
3JN,64,3Jn,64,G,
JUD,65,Jud,65,G,
REV,66,Rev,66,G,
TOB,67,,,H,
JDT,68,,,H,
ESG,69,,,H,
WIS,70,,,H,
SIR,71,,,H,
BAR,72,,,H,
LJE,73,,,H,
S3Y,74,,,H,
SUS,75,,,H,
BEL,76,,,H,
1MA,77,,,H,
2MA,78,,,H,
3MA,79,,,H,
4MA,80,,,H,
1ES,81,,,H,
2ES,82,,,H,
MAN,83,,,H,
PS2,84,,,H,
ODA,85,,,H,
PSS,86,,,H,
JSA,87,,,H,
JDB,88,,,H,
TBS,89,,,H,
SST,90,,,H,
DNT,91,,,H,
BLT,92,,,H,
XXA,93,,,H,
XXB,94,,,H,
XXC,95,,,H,
XXD,96,,,H,
XXE,97,,,H,
XXF,98,,,H,
XXG,99,,,H,
FRT,100,,,H,
BAK,101,,,H,
OTH,102,,,H,
3ES,103,,,H,
EZA,104,,,H,
5EZ,105,,,H,
6EZ,106,,,H,
INT,107,,,H,
CNC,108,,,H,
GLO,109,,,H,
TDX,110,,,H,
NDX,111,,,H,
DAG,112,,,H,
PS3,113,,,H,
2BA,114,,,H,
LBA,115,,,H,
JUB,116,,,H,
ENO,117,,,H,
1MQ,118,,,H,
2MQ,119,,,H,
3MQ,120,,,H,
REP,121,,,H,
4BA,122,,,H,
LAO,123,,,H,

